Ano,Mes,Linha_1,Linha_2,Linha_3,Linha_4,Linha_5,Linha_6,Linha_7,Linha_8,Linha_9,Linha_10,Linha_11,Linha_12,Linha_13,Linha_14,Linha_15,Linha_16,Linha_17,Linha_18,Linha_19,Linha_20,Linha_21,Linha_22,Linha_23,Linha_24,Linha_25,Linha_26,Linha_27,Linha_28,Linha_29,Linha_30,Linha_31,Linha_32,Linha_33,Linha_34,Linha_35,Linha_36,Linha_37,Linha_38,Linha_39,Linha_40,Linha_41,Linha_42,Linha_43,Linha_44,Linha_45,Linha_46,Linha_47,Linha_48,Linha_49,Linha_50,Linha_51,Linha_52,Linha_53,Linha_54,Linha_55,Linha_56,Linha_57,Linha_58,Linha_59,Linha_60,Linha_61,Linha_62,Linha_63,Linha_64,Linha_65,Linha_66,Linha_67,Linha_68,Linha_69,Linha_70,Linha_71,Linha_72,Linha_73,Linha_74,Linha_75,Linha_76,Linha_77,Linha_78,Linha_79,Linha_80,Linha_81,Linha_82,Linha_83,Linha_84,Linha_85,Linha_86,Linha_87,Linha_88,Linha_89,Linha_90,Linha_91,Linha_92
2011,Outubro,1,14,21,30,19,27,25,32,32,51,62,13,15,12,9,16,17,11,17,21,9,16,14,15,17,10,10,25,11,13,13,15,18,26,17,18,17,18,34,11,14,13,13,11,6,13,16,20,20,12,14,19,12,18,19,25,13,17,20,2,21,18,33,14,20,24,24,12,14,12,23,23,11,17,14,30,23,16,15,14,17,24,18,16,16,15,10,16,13,25,15,15
2011,Novembro,0,13,21,18,18,20,11,33,18,19,25,11,10,6,8,10,9,9,5,10,6,9,11,7,8,4,9,9,8,7,8,10,11,11,7,9,9,6,12,7,13,5,14,7,9,15,10,17,13,5,16,9,11,12,7,9,12,7,5,2,15,8,16,10,13,12,13,10,12,13,11,7,9,8,8,16,7,10,11,16,14,10,6,11,7,12,11,6,7,7,8,9
2011,Dezembro,2,17,25,42,26,20,13,29,22,33,28,16,22,7,9,23,10,10,16,13,10,9,12,9,10,10,9,11,8,8,7,7,12,14,9,9,7,13,18,22,10,10,13,16,19,9,10,17,14,7,19,12,15,15,11,14,9,10,11,0,17,16,10,10,18,28,14,12,10,14,19,22,10,17,19,13,14,12,10,16,12,15,11,11,19,6,13,8,11,13,9,20
2012,Janeiro,0,6,12,18,12,6,10,15,9,17,12,15,11,6,4,10,9,7,2,2,3,6,9,3,10,5,8,4,9,4,9,9,3,6,4,5,5,7,16,7,5,11,4,3,8,6,10,8,6,6,14,7,7,8,12,14,9,7,7,1,7,9,5,14,3,13,12,9,9,6,11,8,9,5,9,16,12,12,8,6,6,8,5,8,7,4,2,8,5,4,3,9
2012,Fevereiro,1,21,31,53,28,29,17,35,23,31,55,26,25,14,17,21,16,16,10,15,9,16,20,13,14,18,19,12,14,14,10,11,15,22,16,12,11,18,28,12,13,19,21,17,7,17,11,16,16,16,18,14,13,23,19,23,12,27,16,2,22,33,27,12,22,24,16,23,18,16,25,18,15,14,18,21,21,14,21,26,13,16,20,24,18,16,14,14,13,23,19,18
2012,Março,1,6,15,14,11,10,12,19,15,18,19,15,13,5,6,6,6,4,11,7,3,7,8,7,7,6,2,9,7,5,10,9,3,19,6,6,7,6,13,8,3,6,4,3,2,3,6,9,13,11,2,9,5,13,9,12,8,9,4,0,9,15,9,5,15,13,3,6,12,6,16,4,8,8,6,15,5,11,3,14,8,6,9,12,4,4,5,8,4,11,10,8
2012,Abril,1,6,7,16,5,6,9,9,7,6,12,5,2,6,2,7,1,3,1,4,2,8,3,3,3,2,2,3,2,2,3,5,5,8,1,4,3,4,6,6,4,6,5,3,3,5,3,8,5,3,6,5,2,6,3,7,3,3,3,0,6,7,5,6,4,6,5,3,5,1,4,4,5,3,4,4,3,4,1,5,7,7,7,5,6,3,8,3,1,7,3,4
2012,Maio,1,9,8,19,9,15,1,18,12,11,23,5,16,6,3,6,9,6,3,7,9,8,6,9,5,9,6,3,7,9,10,6,11,7,6,7,6,7,12,10,10,8,4,6,2,3,8,9,8,3,12,3,7,11,3,5,7,9,4,0,14,6,5,17,15,16,14,6,5,8,10,8,9,10,2,14,11,11,4,5,10,5,6,7,6,4,6,8,11,11,6,2
2012,Junho,0,3,8,8,17,12,1,12,4,18,15,7,8,4,5,6,10,1,6,3,2,3,0,9,2,3,4,4,5,6,6,3,3,7,5,4,10,5,6,5,5,5,3,10,6,1,7,8,6,4,8,4,5,5,9,6,8,6,2,0,9,4,8,8,8,9,4,4,5,5,4,4,8,7,7,10,5,9,6,7,4,10,10,9,7,7,6,2,0,10,3,7
2012,Julho,0,2,6,12,14,4,4,6,7,10,11,9,3,9,3,7,2,3,1,3,3,2,2,2,3,3,4,3,9,4,7,4,2,1,2,3,3,2,7,8,2,2,4,1,4,4,2,3,6,5,5,4,6,2,2,3,1,4,4,1,8,3,11,4,6,5,1,1,3,7,6,5,4,4,7,4,6,3,7,3,6,5,8,4,5,2,0,6,1,4,4,6
